City,Month of Date / Time,Shape,Count of Shape
Dallas,August 1999,Circle,1
Plano,July 1999,Unknown,1
Arlington,July 1999,Unknown,1
San Antonio,July 1999,Unknown,1
Houston,July 1999,*,2
Corpus Christi,June 1999,*,3
El Paso,May 1999,Sphere,1
San Antonio,May 1999,*,2
Austin,May 1999,Light,1
Houston,May 1999,Light,1
Fort Worth,April 1999,Circle,1
Dallas,April 1999,Disk,1
Austin,April 1999,Fireball,1
Houston,April 1999,*,2
Dallas,March 1999,*,2
San Antonio,March 1999,Triangle,1
Arlington,February 1999,Fireball,1
Austin,February 1999,*,2
Arlington,January 1999,Fireball,1
Corpus Christi,January 1999,Fireball,1
Dallas,January 1999,*,3
Plano,December 1998,Circle,1
Houston,December 1998,Fireball,1
Katy,November 1998,Fireball,1
Arlington,November 1998,Other,1
Fort Worth,November 1998,Light,1
Dallas,November 1998,Fireball,1
Austin,November 1998,*,2
Dallas,October 1998,Disk,1
Austin,October 1998,Triangle,1
Houston,October 1998,*,2
Arlington,September 1998,Formation,1
Corpus Christi,September 1998,Sphere,1
Fort Worth,September 1998,Fireball,1
Austin,September 1998,*,3
Houston,September 1998,Fireball,2
El Paso,August 1998,*,2
San Antonio,August 1998,Fireball,1
Houston,August 1998,Light,1
Houston,July 1998,Other,1
Corpus Christi,June 1998,Cylinder,1
Austin,June 1998,*,2
Dallas,May 1998,Disk,1
San Antonio,April 1998,*,2
Austin,April 1998,*,3
San Antonio,March 1998,*,2
Houston,March 1998,Sphere,1
Austin,February 1998,Circle,1
Houston,February 1998,Cigar,1
Dallas,January 1998,Light,1
